year,births_clean,tfr
1970,1006785.7,4.53
1971,1024913.2,4.54
1972,952917.9,4.12
1973,965653.9,4.07
1974,922959.0,3.77
1975,874167.2,3.43
1976,796463.9,3.0
1977,825465.9,2.99
1978,750859.6,2.64
1979,862798.4,2.9
1980,862962.9,2.82
1981,867538.5,2.57
1982,848440.4,2.39
1983,769281.6,2.06
1984,674918.0,1.74
1985,655614.5,1.66
1986,636146.1,1.58
1987,623954.8,1.53
1988,633220.3,1.55
1989,639557.9,1.56
1990,649869.7,1.57
1991,709403.8,1.71
1992,730808.3,1.76
1993,715957.3,1.654
1994,721316.2,1.656
1995,715148.9,1.634
1996,691352.5,1.574
1997,675516.7,1.537
1998,641717.8,1.464
1999,620790.7,1.425
2000,640212.6,1.48
2001,560054.7,1.309
2002,497031.2,1.178
2003,495154.8,1.191
2004,477076.0,1.164
2005,438823.8,1.085
2006,451875.8,1.132
2007,496938.3,1.259
2008,466007.8,1.192
2009,444964.4,1.149
2010,470287.3,1.226
2011,471380.1,1.244
2012,484665.3,1.297
2013,436568.9,1.187
2014,435548.9,1.205
2015,438533.9,1.239
2016,406355.9,1.172
2017,357884.3,1.052
2018,326933.8,0.977
2019,302787.4,0.918
2020,272447.1,0.837
2021,260672.2,0.808
2022,249295.6,0.778
2023,230137.6,0.721
2024,238426.7,0.748
2025,254567.8,0.8
